family,value,n_seeds,seeds,verdict_worst,unmet_tail_mean,unmet_tail_max,worst_streak_max,inv_bad_total
capital_backstop,interval_ticks_10,3,"7,42,123",unstable,164.1,178.0,12,0
capital_backstop,interval_ticks_20,3,"7,42,123",unstable,183.5,186.2,14,0
capital_backstop,interval_ticks_5,3,"7,42,123",stable,183.8,236.2,12,0
cohort,cohort_k1,1,42,stable,0.0,0,6,0
cohort,cohort_k100,2,"7,42",stable,0.0,0,12,0
labor_pool_cap,labor_pool_cap_2000,3,"7,42,123",unstable,295.9,303.4,449,0
labor_pool_cap,labor_pool_cap_4000,3,"7,42,123",unstable,266.4,290.0,412,0
labor_pool_cap,labor_pool_cap_8000,3,"7,42,123",unstable,214.5,232.5,358,0
surplus_spending,dividend_share_bp_1000,5,"5,7,42,99,123",stable,174.5,201.0,30,0
surplus_spending,dividend_share_bp_2000,5,"5,7,42,99,123",stable,174.5,201.0,30,0
surplus_spending,dividend_share_bp_3000,5,"5,7,42,99,123",unstable,163.4,178.0,23,0
surplus_spending,dividend_share_bp_4000,5,"5,7,42,99,123",stable,174.5,201.0,30,0
surplus_spending,dividend_share_bp_5000,5,"5,7,42,99,123",unstable,163.4,178.0,23,0
surplus_spending,dividend_share_bp_7000,5,"5,7,42,99,123",unstable,163.4,178.0,23,0
surplus_spending,dividend_share_bp_9000,5,"5,7,42,99,123",stable,174.5,201.0,30,0
surplus_spending,services_share_bp_3000,3,"7,42,123",stable,173.2,193.3,17,0
surplus_spending,services_share_bp_5000,3,"7,42,123",unstable,164.1,178.0,12,0
surplus_spending,services_share_bp_7000,3,"7,42,123",unstable,173.1,187.5,16,0
wealth_tax,rate_bp_100,5,"5,7,42,99,123",stable,179.1,205.7,24,0
wealth_tax,rate_bp_150,5,"5,7,42,99,123",stable,178.6,200.1,30,0
wealth_tax,rate_bp_200,5,"5,7,42,99,123",unstable,163.4,178.0,23,0
wealth_tax,rate_bp_300,5,"5,7,42,99,123",stable,175.9,205.7,24,0
wealth_tax,rate_bp_400,5,"5,7,42,99,123",stable,169.3,178.0,24,0
wealth_tax,rate_bp_600,5,"5,7,42,99,123",stable,175.3,202.5,24,0
wealth_tax,rate_bp_800,5,"5,7,42,99,123",stable,169.3,178.0,24,0
